Date, Time, Open, High, Low, Last, Volume, OpenInterest
2018/9/11, 00:00:00, 1.2058, 1.2267, 1.2015, 1.2056, 74065, 13258
2018/10/1, 00:00:00, 1.2056, 1.2069, 1.1717, 1.1730, 95560, 14063
2018/11/1, 00:00:00, 1.1729, 1.1916, 1.1620, 1.1696, 83828, 15185
2018/12/3, 00:00:00, 1.1715, 1.1859, 1.1645, 1.1805, 81961, 13605
2019/1/2, 00:00:00, 1.1815, 1.1915, 1.1621, 1.1770, 83756, 15095
2019/2/1, 00:00:00, 1.1772, 1.1813, 1.1543, 1.1676, 70881, 16749
2019/3/1, 00:00:00, 1.1668, 1.1731, 1.1468, 1.1486, 106391, 14267
2019/4/1, 00:00:00, 1.1496, 1.1582, 1.1354, 1.1464, 86949, 15663
2019/5/1, 00:00:00, 1.1458, 1.1507, 1.1324, 1.1384, 90435, 16955
2019/6/3, 00:00:00, 1.1379, 1.1593, 1.1368, 1.1554, 126884, 14140
2019/7/1, 00:00:00, 1.1541, 1.1546, 1.1209, 1.1235, 83956, 15694
2019/8/1, 00:00:00, 1.1220, 1.1392, 1.1082, 1.1097, 83505, 17421
2019/9/3, 00:00:00, 1.1104, 1.1216, 1.0978, 1.0996, 88106, 15624
2019/10/1, 00:00:00, 1.0991, 1.1255, 1.0972, 1.1210, 73152, 18180
2019/11/1, 00:00:00, 1.1216, 1.1238, 1.1024, 1.1060, 50002, 18370
2019/12/2, 00:00:00, 1.1062, 1.1295, 1.1046, 1.1282, 70895, 15614
2020/1/2, 00:00:00, 1.1263, 1.1280, 1.1107, 1.1118, 36630, 0
